notebook1,file1,segment1_index_on_page,segment1_page_key,segment1_text,notebook2,file2,segment2_index_on_page,segment2_page_key,segment2_text,lcs_jaccard,lcs_dice,lcs_ratio,containment_1_in_2,containment_2_in_1,max_containment,lcs_length,lcs_text,seq1_length,seq2_length,coverage_ratio
14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",14g,page_to_text.json,0,160,} 16.1 31 .1 x 5 Monte 1. 8 1. 8 2 Barrina 1 0 9 1 0 9 Varlo 31. 3.. 5 Monte Varlo Monte Varlo 14. Wednesday 15 . 16 F 17 S 18 S 31. 3. 5. 19. M. 20 T 30 . 19 21 W 22 T 9 23 F 12.5 24 S 11. 4 5 11. 4 5 25 S 26 M 27 T 4 7 5 28 W 29 T 1 . 4 . 5 1 . 4 . 5 30 F 4 3 1 S 2 S 3 M 39 6 39 6 4 T 36. 5 05 5. W 9. S. 10 M 11 T 6 T 12 W. 13 T 14 F 15 S 16 S 17 M 17 M 18 Tuesday 7 F 2 8 S,0.12307692307692308,0.2191780821917808,0.2191780821917808,0.16326530612244897,0.3333333333333333,0.3333333333333333,8,. . . . . . . .,49,24,0.16326530612244897
14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",14g,page_to_text.json,0,88,Bologna casa Martinetta . Sep r 30. 1819 Bologna casa Martinetta . Sep r 30. 1819 On the structure On the structure of the Solid the Solid parts of the Globe. parts of the Globe. or Geology. or Geology.,0.11594202898550725,0.2077922077922078,0.2077922077922078,0.1568627450980392,0.3076923076923077,0.3076923076923077,8,. . . . . . . .,51,26,0.1568627450980392
14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",14g,page_to_text.json,0,160,} 16.1 31 .1 x 5 Monte 1. 8 1. 8 2 Barrina 1 0 9 1 0 9 Varlo 31. 3.. 5 Monte Varlo Monte Varlo 14. Wednesday 15 . 16 F 17 S 18 S 31. 3. 5. 19. M. 20 T 30 . 19 21 W 22 T 9 23 F 12.5 24 S 11. 4 5 11. 4 5 25 S 26 M 27 T 4 7 5 28 W 29 T 1 . 4 . 5 1 . 4 . 5 30 F 4 3 1 S 2 S 3 M 39 6 39 6 4 T 36. 5 05 5. W 9. S. 10 M 11 T 6 T 12 W. 13 T 14 F 15 S 16 S 17 M 17 M 18 Tuesday 7 F 2 8 S,0.11940298507462686,0.21333333333333335,0.21333333333333335,0.1568627450980392,0.3333333333333333,0.3333333333333333,8,. . . . . . . .,51,24,0.1568627450980392
14e,page_to_text.json,1,77,"The ethereal fire Which from the furthest star descends Through the immensity of space, Its course, by worlds attractive bends.",14g,page_to_text.json,1,99,"The torrent roaring from the moun- tain Which ravages a hundred fields Conducted tranquil from its fountain Bloom freshness, verdure, plenty yields. H. D 56",0.14705882352941177,0.2564102564102564,0.2564102564102564,0.2777777777777778,0.23809523809523808,0.2777777777777778,5,"which from , , .",18,21,0.23809523809523808
14e,page_to_text.json,0,94,91 What if the stars themselves Be but a different animated world Of which our narrow intellect can form No just conception. What if each bright orb In the act of pouring forth its flood of light Should feel intensest pleasure & the globes That dance in everlasting circles cor round Should in the attractive power which moves them onward Feel a holy glow like that of purest love. Light & life profusely were before our little globe An atom in the universe appeared.,14g,page_to_text.json,0,25,- Why have Ye left your halcyon streams below - To visit our rude peaks on which the snow still glitters in the summer sun of june - But brightly do ye danse along the glade; As if the kindred of the evening stars -. May not the stars themselves Be but a different animated world Of which our narrow intellect can form no just conception,0.16,0.27586206896551724,0.27586206896551724,0.23529411764705882,0.3333333333333333,0.3333333333333333,16,if stars themselves be different animated world which our narrow intellect can form no just conception,68,48,0.23529411764705882
14e,page_to_text.json,1,94,And when it is known it is known it ceases to exist With all its weak memorials Light & life Shall be as now –,14g,page_to_text.json,0,141,137 them indeed it is in the nature of our present existence that its past or former being should be forgotten as the earliest part or the useless part of its present being when the child was in the womb of the mother.,0.1111111111111111,0.2,0.2,0.25,0.16666666666666666,0.25,5,it is its be as,20,30,0.16666666666666666
14e,page_to_text.json,1,94,And when it is known it is known it ceases to exist With all its weak memorials Light & life Shall be as now –,14g,page_to_text.json,0,152,Continuations of Chemical Continuations of Chemical Dialogues. . 1 Though it is extremely Though it is extremely But however But however difficult it may be it may be to define the exact nature of the chemical process of separation; yet the effect of it & its connection with the function of life are sufficiently striking.,0.12727272727272726,0.22580645161290322,0.22580645161290322,0.35,0.16666666666666666,0.35,7,it is it is it its life,20,42,0.16666666666666666
14e,page_to_text.json,0,111,Lord Byron Lord Byron Lord Byron Lord Byron . written Whilst living Whilst living Whilst living Whilst living . – 23.,14e,page_to_text.json,0,134,131 Supplement to the poem on the death of Lord Byron Lord Byron Lord Byron . Fintl - July 28.27 Now passing near those high & blessed abodes ways. abodes ways.,0.2571428571428571,0.4090909090909091,0.4090909090909091,0.45,0.375,0.45,9,lord byron lord byron lord byron . . .,20,24,0.375
14e,page_to_text.json,0,111,Lord Byron Lord Byron Lord Byron Lord Byron . written Whilst living Whilst living Whilst living Whilst living . – 23.,14e,page_to_text.json,0,165,"On the death of Lord Byron On the death of Lord Byron On the death of Lord Byron composed at Westhill in the great storm, Nov r .",0.2413793103448276,0.3888888888888889,0.3888888888888889,0.35,0.4375,0.4375,7,lord byron lord byron lord byron .,20,16,0.35
14e,page_to_text.json,0,113,"Corrected Stanza Corrected Stanza to be added to the Poem on the death of L d . byron . Now passing near those high & blessed abodes Where Beings of a higher nobler nature move In fields of purest light. Where intellectual brightest rays of Glory shine. In power allied to Gods Whose minds etherial & undying prove that Truth in its brightness, & Eternal blaze ^ Which man sees dimly xxxxxxx Which man sees dimly xxxxxxx Whose hearts are warm with everlasting love.",14e,page_to_text.json,0,134,131 Supplement to the poem on the death of Lord Byron Lord Byron Lord Byron . Fintl - July 28.27 Now passing near those high & blessed abodes ways. abodes ways.,0.17105263157894737,0.29213483146067415,0.29213483146067415,0.2,0.5416666666666666,0.5416666666666666,13,poem death byron . now passing near those high blessed abodes . .,65,24,0.2
14e,page_to_text.json,0,113,"Corrected Stanza Corrected Stanza to be added to the Poem on the death of L d . byron . Now passing near those high & blessed abodes Where Beings of a higher nobler nature move In fields of purest light. Where intellectual brightest rays of Glory shine. In power allied to Gods Whose minds etherial & undying prove that Truth in its brightness, & Eternal blaze ^ Which man sees dimly xxxxxxx Which man sees dimly xxxxxxx Whose hearts are warm with everlasting love.",14e,page_to_text.json,1,134,"ways, Where beings of a higher nature move Where beings of a higher nature move Where beings of a higher nature move In fields of light & glory & glory , when intellectual xx rays cold like cold like Of xxxxxxx xxxxx xxx a constant xxxx Of xxxxxxx xxxxx xxx xxxxxxx xxxxx xxx a constant xxxx of glory upon thee of glory upon thee Surround their blessed heads Surround their blessed heads , whose minds shall prove A glory shone around them around them In power allied designed to gods power A xxxx undying intellectual Rage.",0.12605042016806722,0.22388059701492538,0.22388059701492538,0.23076923076923078,0.21739130434782608,0.23076923076923078,15,where beings higher nature move fields light intellectual rays glory power allied gods undying .,65,69,0.21739130434782608
14e,page_to_text.json,1,122,"So is the rose destroyed by the child Who in his bosom hides the cherished flower. And Nature never feels so strong her powers As in the trusty worth of buds & flowers Love is the flower of life. too short its bloom lovelier its tint the sweeter its perfume Shorter the richer are its scents & hues scents & hues & scents And He that plucks it hastens its sad doom, And soon that He has xxxxxxx so fair a thing repents.",14e,page_to_text.json,0,160,"157 Love is the flower of life its brightest its brightest too short its too short its bloom too soon it fades too soon it fades Sooner the fairer are its changeful Sooner the fairer are its changeful Shortest when brightest richest & most rich most rich hues The sooner, when most rich its tints & The sooner, when most rich its tints & its scents its scents & scents And he that plucks it hastens its sad doom And soon that He has spoilt so bright a thing repents.",0.25,0.4,0.4,0.4393939393939394,0.3670886075949367,0.4393939393939394,29,love is flower life too short its bloom are its scents scents scents he that plucks it hastens its sad doom soon that he has so thing repents .,66,79,0.3670886075949367
14e,page_to_text.json,1,124,the Natural All living forms to death. the Natural Destroyed the xxx e'er xxx happy that life of love But of a moment born as if for death But of a moment born as if for death was passed full of the joy of life full of the joy of life Thought enjoying e'en in death.,14e,page_to_text.json,2,157,Still Hushed is the air in silence The smoke moves upwards & its curling waves Mem. xxx as if Mem. xxx as if Mem. xxx as if,0.11764705882352941,0.21052631578947367,0.21052631578947367,0.17647058823529413,0.2608695652173913,0.2608695652173913,6,. as if as if .,34,23,0.17647058823529413
14e,page_to_text.json,0,134,131 Supplement to the poem on the death of Lord Byron Lord Byron Lord Byron . Fintl - July 28.27 Now passing near those high & blessed abodes ways. abodes ways.,14e,page_to_text.json,0,165,"On the death of Lord Byron On the death of Lord Byron On the death of Lord Byron composed at Westhill in the great storm, Nov r .",0.25,0.4,0.4,0.3333333333333333,0.5,0.5,8,death lord byron lord byron lord byron .,24,16,0.3333333333333333
14e,page_to_text.json,0,153,"addition to the thought on youth. on youth. & invocation to urania composed the road copied Laybach . April 20 - 27. For time has withered all the lovely flowers That once adorned my youthful coronet And death has cut & utterly destroyed That beauteous tree which for two xxxxxx bore Perennial roses having all the hues & scents Of vernal flowers, yet like the amaranth Blooming in wintry frost & summer heat. April 19. 1827.",14e,page_to_text.json,0,155,Ravenna April 7 Oh couldst thou be with me daughter of Oh couldst thou be with me daughter of Oh couldst thou be with me daughter of heavn Urania. I have now no other love. For time & death have withered all the flowers That once adorned my youthful coronet. with thee I still may live a little space And hope for better intellectual light With thee I may e'en still in xxxxx vernal times Look upon nature with a poets eye.,0.12962962962962962,0.22950819672131148,0.22950819672131148,0.2413793103448276,0.21875,0.2413793103448276,14,. . time withered all flowers that once adorned my youthful coronet vernal .,58,64,0.21875
14e,page_to_text.json,0,154,"151 By the imperial citys fallen walls Laying bare the bones of heroes & the monuments And Of generations of the ages past Or we might rest on that cloud covered hill Whose marble rocks are cloaked with brightest green. Where thousand flowers of unknown hues & names Scent the cool air, rarely by human breath inhaled But which the wild bee knows & ever haunts And whence descends the balmy influence Of those bright waters tepid from the fires Of ancient Appenine .",14g,page_to_text.json,1,27,Layin bare the bones of heroes & the monuments And records of the generations past. - Or wilt thou pass to that cloud covered hill Whose marble rocks are cloaked with brightest verdure green Where Flora reigns in mountain majesty Where a thousand flowers of nameless unknown sweets hues & virtues & virtues Scent the cool air rarely by human breath inhaled,0.3815789473684211,0.5523809523809524,0.5523809523809524,0.48333333333333334,0.6444444444444445,0.6444444444444445,29,bare bones heroes monuments generations past that cloud covered hill whose marble rocks are cloaked brightest green where thousand flowers unknown hues scent cool air rarely human breath inhaled,60,45,0.48333333333333334
14e,page_to_text.json,0,154,"151 By the imperial citys fallen walls Laying bare the bones of heroes & the monuments And Of generations of the ages past Or we might rest on that cloud covered hill Whose marble rocks are cloaked with brightest green. Where thousand flowers of unknown hues & names Scent the cool air, rarely by human breath inhaled But which the wild bee knows & ever haunts And whence descends the balmy influence Of those bright waters tepid from the fires Of ancient Appenine .",14g,page_to_text.json,0,28,"But which the wild Bee knows & ever haunts. - And whence descends your balmy influence Ye waters tepid from the sleeping fires Of ancient Appenine whose source Hygeia loves, & midst the coolness Of the mountain xxxxx & neath the shade of chesnuts whose time worn trunks proclaim Their age of other centuries. -",0.2,0.3333333333333333,0.3333333333333333,0.2833333333333333,0.40476190476190477,0.40476190476190477,17,which wild bee knows ever haunts whence descends balmy influence waters tepid from fires ancient appenine .,60,42,0.2833333333333333
14e,page_to_text.json,1,154,Whose sacred source Hygeia loves. There my weary limbs I have might repose beneath the shade Of chesnuts whose time worn trunks proclaim Their xx of other centuries.,14g,page_to_text.json,0,28,"But which the wild Bee knows & ever haunts. - And whence descends your balmy influence Ye waters tepid from the sleeping fires Of ancient Appenine whose source Hygeia loves, & midst the coolness Of the mountain xxxxx & neath the shade of chesnuts whose time worn trunks proclaim Their age of other centuries. -",0.2830188679245283,0.4411764705882353,0.4411764705882353,0.5769230769230769,0.35714285714285715,0.5769230769230769,15,whose source hygeia loves shade chesnuts whose time worn trunks proclaim their other centuries .,26,42,0.35714285714285715
14e,page_to_text.json,1,155,"Nursing those lofty thoughts that in the mind Spontaneous rise, blending their sacred powers With images from moutain & from flood From chesnut groves amidst the broken rocks Where the blue Lima pours to meet the wave Of foaming Serchio or midst the odrus heath And cystus flowers that clothe the stream worn sides Of the green hills whence in purity.",14g,page_to_text.json,0,27,"25 To look on Nature with a poets eye Nursing those lofty thoughts which in the mind Spontaneous arise & blending all their power With images from mountain & from flood From chesnut groves amidst the broken rocks Where the blue Lima pours to meet the wave of foaming Serchio , or midst the odorous heath And cystus flowers Which cloaks the stream-worn sides of the green hills Whence rise in mountain xxxx & mountain xxxx mountain xxxx & mountain virgin purity virgin purity Thy limpid waves of mountain Tiber Not polluted yet, by mixture with the lowland muddy rills Or turbid with the ruins of the plains When then murmerest by of ancient Latium Washing Where thou murmurest by Where thou murmurest by the falling walls of the imperial city.",0.36,0.5294117647058824,0.5294117647058824,0.7659574468085106,0.4044943820224719,0.7659574468085106,36,nursing those lofty thoughts mind spontaneous blending their images from from flood from chesnut groves amidst broken rocks where blue lima pours meet wave foaming serchio midst heath cystus flowers sides green hills whence purity .,47,89,0.4044943820224719
14e,page_to_text.json,2,155,The virgin streams arise of Mountain Tiber Not yet polluted by the lowland rills Or xxxx turbid with the ruins of the plains When in thy that sullen majesty xxxx He murmurs,14g,page_to_text.json,0,27,"25 To look on Nature with a poets eye Nursing those lofty thoughts which in the mind Spontaneous arise & blending all their power With images from mountain & from flood From chesnut groves amidst the broken rocks Where the blue Lima pours to meet the wave of foaming Serchio , or midst the odorous heath And cystus flowers Which cloaks the stream-worn sides of the green hills Whence rise in mountain xxxx & mountain xxxx mountain xxxx & mountain virgin purity virgin purity Thy limpid waves of mountain Tiber Not polluted yet, by mixture with the lowland muddy rills Or turbid with the ruins of the plains When then murmerest by of ancient Latium Washing Where thou murmurest by Where thou murmurest by the falling walls of the imperial city.",0.11224489795918367,0.2018348623853211,0.2018348623853211,0.55,0.12359550561797752,0.55,11,virgin mountain tiber not yet lowland rills turbid ruins plains when,20,89,0.12359550561797752
14e,page_to_text.json,0,156,153 Rise in a strait gigantic column Rise in a strait gigantic column Stand like a tree above. Een in my heart By sickness weakened & by sorrow chilled The balm of kindness calmness seems to penetrate Mild soothing genial in its influence Again I feel a freshness & a power As in my youthful days & hopes & thoughts Heroical & high.,14g,page_to_text.json,0,124,By sickness weakened & by sorrow chil'd the balm of calmness seems to enter penetrate enter penetrate Mild & genial soothing in its influence And soothing And soothing Again I feel a freshness & a power & a power As in my youthful days & hopes & thoughts & hopes & thoughts Heroical of & Heroical of & high - is it that in the mind is it that in the mind in the mind As in the Body wound through when healed As in the Body wound through when healed when healed - Till with - Till with - The wasted frame Soon in corporeal strength recruits itself And wounds fill with new flesh,0.25555555555555554,0.40707964601769914,0.40707964601769914,0.5348837209302325,0.32857142857142857,0.5348837209302325,23,sickness weakened sorrow balm calmness seems penetrate mild soothing its influence again feel freshness power as my youthful days hopes thoughts heroical high,43,70,0.32857142857142857
