notebook1,file1,segment1_index_on_page,segment1_page_key,segment1_text,segment1_word_count,notebook2,file2,segment2_index_on_page,segment2_page_key,segment2_text,segment2_word_count,tfidf_similarity,cosine_similarity,euclidean_similarity,manhattan_similarity,jaccard_features,overlap_coefficient,shared_features,total_features_1,total_features_2,top_shared_features,vector1_norm,vector2_norm
14e,page_to_text.json,0,9,July 3 - Bright sunshine. T in the window shaded at 5 63. in room at 8 69.- Bavarian xxx 100- A 101 100- A 101 - is to Austria as 101 to 100 - Ther. at 2 in room 70 1/2 in window 84 in perfect shade. at 3. 85 in window at 1/2 past 3 87. & before the formation of thunder clouds.,60,14e,page_to_text.json,0,11,a bright 3/4 moon. T in window open at 10. 58. bright moon July 5 T at 7 in window 58. 59. In room 63. light clouds. shall D V D V D V proceed to Munich . Found it hot & disagreeable. T 70 in room. Vald. miser. Vald. miser. Vald. miser. xx Hir. temp. - July 6 a fine & cool night T 62 in window at 7 - 68 69. in room.,71,0.31887604000419034,0.31887604000419034,0.46143472346225395,0.14642018404296858,0.16129032258064516,0.3333333333333333,5,15,21,window; room; juli; vald; miser,1.0,1.0
14e,page_to_text.json,0,9,July 3 - Bright sunshine. T in the window shaded at 5 63. in room at 8 69.- Bavarian xxx 100- A 101 100- A 101 - is to Austria as 101 to 100 - Ther. at 2 in room 70 1/2 in window 84 in perfect shade. at 3. 85 in window at 1/2 past 3 87. & before the formation of thunder clouds.,60,14e,page_to_text.json,0,14,"11 night, thermetr at day 70 in evening at 10 67 68 in room 64 in window Fished in a small stream. & caught a great number of small trout 8 Ther. at 4 55 in window at 6 58, - a bright sunshine in room at 7 65 shall pursue my journey. had yesterday for dinner Shellies and lavants which being fresh fried were not bad. Th. here in room 68 69 .",72,0.3072468511767934,0.3072468511767934,0.45933183524679944,0.1316492868329217,0.1388888888888889,0.3333333333333333,5,15,26,room; window; ther; sunshin; shade,1.0,0.9999999999999998
14e,page_to_text.json,1,9,"90 at 4 - As the thunder clouds formed, wind & then fell to 78 - at 1/2 past 5 Went to the Traun about 3 miles below the town which was still foul at least turbid though less than last night caught only one small trout as my fishing was put an end to by a violent storm which lasted all the evening Ther r in window at 9 69 -",68,14e,page_to_text.json,0,14,"11 night, thermetr at day 70 in evening at 10 67 68 in room 64 in window Fished in a small stream. & caught a great number of small trout 8 Ther. at 4 55 in window at 6 58, - a bright sunshine in room at 7 65 shall pursue my journey. had yesterday for dinner Shellies and lavants which being fresh fried were not bad. Th. here in room 68 69 .",72,0.2533232031651542,0.2533232031651542,0.4500392372368559,0.11900294255777426,0.16279069767441862,0.2916666666666667,7,24,26,window; ther; small; caught; night,1.0,0.9999999999999998
14e,page_to_text.json,0,10,"7 lightning & rain continuing – July 4. Rain & lightning all night & still continues at 8. T fallen to 63, 62 in window & in room 65. - Left traunstein on the Munich road – cool & fresh cool & fresh The Chiem see Chiem see Chiem see & small Lakes form beautiful x pictures in the landscape the Chiem see bounded by high mountains & surrounded by woods. rained till 1 OClock.",64,14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",74,0.2779441272934485,0.2779441272934485,0.4541920093389469,0.11379664109067826,0.10416666666666667,0.2,5,28,25,chiem; room; window; fussen; rain,0.9999999999999999,0.9999999999999999
14e,page_to_text.json,1,10,"& then was fine views of the mountains with clouded intervals - reached Aibling at 4 oClock two rivers join one was clear but without fish at lunch for angling, went out but saw nothing rise, saw a fisherman who had some fish that He called - Nasen - A Carp. it is probably the nasicarp T. in room 68 .67 at 4 & 5 at 4 & 5 At window at 9. 60. In room 65 a beautiful evening & re d but d but yellowish sunset",81,14e,page_to_text.json,1,17,The Rhine a grand river where it joins the two lakes. went in a boat & fished but saw nothing at Constance evening 70. 71. at Constance evening 70. 71. 13. Constance . Tolerably fresh at 7 T. 65. went to the fish,42,0.27513221986723796,0.27513221986723796,0.4537102872827199,0.13290634557941433,0.16666666666666666,0.46153846153846156,6,29,13,constanc; fish; went; saw; join,0.9999999999999999,0.9999999999999999
14e,page_to_text.json,0,11,a bright 3/4 moon. T in window open at 10. 58. bright moon July 5 T at 7 in window 58. 59. In room 63. light clouds. shall D V D V D V proceed to Munich . Found it hot & disagreeable. T 70 in room. Vald. miser. Vald. miser. Vald. miser. xx Hir. temp. - July 6 a fine & cool night T 62 in window at 7 - 68 69. in room.,71,14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",77,0.2564132138073123,0.2564132138073123,0.4505524818861074,0.12451857607651429,0.18604651162790697,0.38095238095238093,8,21,30,room; juli; moon; kempten; window,1.0,1.0
14e,page_to_text.json,0,14,"11 night, thermetr at day 70 in evening at 10 67 68 in room 64 in window Fished in a small stream. & caught a great number of small trout 8 Ther. at 4 55 in window at 6 58, - a bright sunshine in room at 7 65 shall pursue my journey. had yesterday for dinner Shellies and lavants which being fresh fried were not bad. Th. here in room 68 69 .",72,14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",74,0.27019549223575806,0.27019549223575806,0.4528692627175844,0.1209837117549668,0.1590909090909091,0.28,7,26,25,room; window; chiem; small; ther,0.9999999999999998,0.9999999999999999
14e,page_to_text.json,0,14,"11 night, thermetr at day 70 in evening at 10 67 68 in room 64 in window Fished in a small stream. & caught a great number of small trout 8 Ther. at 4 55 in window at 6 58, - a bright sunshine in room at 7 65 shall pursue my journey. had yesterday for dinner Shellies and lavants which being fresh fried were not bad. Th. here in room 68 69 .",72,14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",77,0.31819499005543833,0.31819499005543833,0.4613105450732036,0.12536516854114535,0.24444444444444444,0.4230769230769231,11,26,30,room; kempten; bad; window; small,0.9999999999999998,1.0
14e,page_to_text.json,0,15,"perhaps the Chiem see Chiem see Chiem see . In returning caught some small trout in a brook we crossed. The fisherman says there are Hucho both in the Lake & the large river that feeds it – ,T in window 61 at 10 In room 65 June 9. - Ther. at 55 in window at 5 in room at 6. 63.- I intend to proceed to Fussen . A sunshiny day. - came on to Fussen .",74,14e,page_to_text.json,0,16,"13 65 in room 66. 67 - July 10. another bright day shall leave DV. Fussen for Kempten . found Kempten very hot & came on to a small inn there, but with bad eating midway between Kempten & Rothenbach . - a breezy day though with unclouded sky Th in room 73. at 4 in inn at 4 in inn at night 9 65. & in window below 60. - a beautiful moon. Caught in the brook a trout & B another – 11.",77,0.2813833844839981,0.2813833844839981,0.4547838800972326,0.12287834561089574,0.1956521739130435,0.36,9,25,30,fussen; room; chiem; kempten; brook,0.9999999999999999,1.0
14e,page_to_text.json,0,62,"59 The plants around the little cradle grew In full luxuriance The fishes sported on the waves Myriads of lovely insects filled the air And all was life and happiness Her mind in deepest sympathy Shall all things live and thou the masterpiece Of all things living perish, | Soon in the midst The light was broken by a mass of rock Which rained its rugged brow above the xxxxx A mist arose which brightened all the sky Sky Nor moon nor star nor water now was seen But I am of another world he said Cast thine eyes upward to the vault of heaven Ten thousand stars pour forth their mingled light mingled light Amidst the etherial blueness.",118,14e,page_to_text.json,0,90,"87 Cast thine eyes upwards in the vault of heaven Ten thousand stars pour forth their brilliant light That mingle in the ether Look at the brightest of these orbs My place of birth my heritage My place of birth my heritage My place of birth my heritage The space Which midst these brilliant stars to thee appears Mere emptiness & void, Is filled with life But of a nature all unlike to thine They breathe, not hear not see not But derive from impulse & powers to thee unknown Sources of sense & thought",92,0.25276026011254055,0.25276026011254055,0.44994597366291106,0.0913158640563869,0.16666666666666666,0.358974358974359,14,59,39,star; heritag; mingl; thine; cast,0.9999999999999999,1.0
14e,page_to_text.json,0,94,91 What if the stars themselves Be but a different animated world Of which our narrow intellect can form No just conception. What if each bright orb In the act of pouring forth its flood of light Should feel intensest pleasure & the globes That dance in everlasting circles cor round Should in the attractive power which moves them onward Feel a holy glow like that of purest love. Light & life profusely were before our little globe An atom in the universe appeared.,82,14g,page_to_text.json,0,25,- Why have Ye left your halcyon streams below - To visit our rude peaks on which the snow still glitters in the summer sun of june - But brightly do ye danse along the glade; As if the kindred of the evening stars -. May not the stars themselves Be but a different animated world Of which our narrow intellect can form no just conception,63,0.2757889850842705,0.2757889850842705,0.4538226258615266,0.10617696999232076,0.1724137931034483,0.37037037037037035,10,41,27,concept; star; just; narrow; intellect,1.0,1.0
14e,page_to_text.json,1,94,And when it is known it is known it ceases to exist With all its weak memorials Light & life Shall be as now –,23,14g,page_to_text.json,0,83,history or tradition - are not now known to exist.,9,0.3560528925537583,0.3560528925537583,0.4684160478289384,0.23767358302875297,0.2,0.5,2,8,4,known; exist; tradit; histori; ceas,1.0,0.9999999999999999
14e,page_to_text.json,0,102,"99 Such are the Eternal laws, acting in power As if Eternal justice was their end. So the forms of animated nature changing changeable .",25,14g,page_to_text.json,1,115,& security of the laws of nature. -,6,0.28358597816729975,0.28358597816729975,0.45516448761651457,0.2020665992908365,0.15384615384615385,0.6666666666666666,2,12,3,law; secur; natur; etern; changeabl,1.0,0.9999999999999999
14e,page_to_text.json,0,111,Lord Byron Lord Byron Lord Byron Lord Byron . written Whilst living Whilst living Whilst living Whilst living . – 23.,20,14e,page_to_text.json,0,134,131 Supplement to the poem on the death of Lord Byron Lord Byron Lord Byron . Fintl - July 28.27 Now passing near those high & blessed abodes ways. abodes ways.,29,0.4554027880800708,0.4554027880800708,0.48932182857087586,0.2086446744519809,0.125,0.4,2,5,13,byron; lord; whilst; way; live,1.0,0.9999999999999999
14e,page_to_text.json,0,111,Lord Byron Lord Byron Lord Byron Lord Byron . written Whilst living Whilst living Whilst living Whilst living . – 23.,20,14e,page_to_text.json,0,165,"On the death of Lord Byron On the death of Lord Byron On the death of Lord Byron composed at Westhill in the great storm, Nov r .",28,0.5527253649042453,0.5527253649042453,0.513925809549774,0.2710012926686803,0.18181818181818182,0.4,2,5,8,byron; lord; whilst; death; live,1.0,1.0
14e,page_to_text.json,0,113,"Corrected Stanza Corrected Stanza to be added to the Poem on the death of L d . byron . Now passing near those high & blessed abodes Where Beings of a higher nobler nature move In fields of purest light. Where intellectual brightest rays of Glory shine. In power allied to Gods Whose minds etherial & undying prove that Truth in its brightness, & Eternal blaze ^ Which man sees dimly xxxxxxx Which man sees dimly xxxxxxx Whose hearts are warm with everlasting love.",80,14e,page_to_text.json,0,134,131 Supplement to the poem on the death of Lord Byron Lord Byron Lord Byron . Fintl - July 28.27 Now passing near those high & blessed abodes ways. abodes ways.,29,0.28265954480170596,0.28265954480170596,0.45500425141464595,0.1256841359882993,0.18181818181818182,0.6153846153846154,8,39,13,byron; abod; lord; poem; way,1.0,0.9999999999999999
14e,page_to_text.json,0,113,"Corrected Stanza Corrected Stanza to be added to the Poem on the death of L d . byron . Now passing near those high & blessed abodes Where Beings of a higher nobler nature move In fields of purest light. Where intellectual brightest rays of Glory shine. In power allied to Gods Whose minds etherial & undying prove that Truth in its brightness, & Eternal blaze ^ Which man sees dimly xxxxxxx Which man sees dimly xxxxxxx Whose hearts are warm with everlasting love.",80,14e,page_to_text.json,1,134,"ways, Where beings of a higher nature move Where beings of a higher nature move Where beings of a higher nature move In fields of light & glory & glory , when intellectual xx rays cold like cold like Of xxxxxxx xxxxx xxx a constant xxxx Of xxxxxxx xxxxx xxx xxxxxxx xxxxx xxx a constant xxxx of glory upon thee of glory upon thee Surround their blessed heads Surround their blessed heads , whose minds shall prove A glory shone around them around them In power allied designed to gods power A xxxx undying intellectual Rage.",91,0.3195913058203395,0.3195913058203395,0.4615652794692136,0.12113134331324041,0.27450980392156865,0.5384615384615384,14,39,26,glori; higher; bless; alli; stanza,1.0,1.0
14e,page_to_text.json,1,122,"So is the rose destroyed by the child Who in his bosom hides the cherished flower. And Nature never feels so strong her powers As in the trusty worth of buds & flowers Love is the flower of life. too short its bloom lovelier its tint the sweeter its perfume Shorter the richer are its scents & hues scents & hues & scents And He that plucks it hastens its sad doom, And soon that He has xxxxxxx so fair a thing repents.",79,14e,page_to_text.json,0,160,"157 Love is the flower of life its brightest its brightest too short its too short its bloom too soon it fades too soon it fades Sooner the fairer are its changeful Sooner the fairer are its changeful Shortest when brightest richest & most rich most rich hues The sooner, when most rich its tints & The sooner, when most rich its tints & its scents its scents & scents And he that plucks it hastens its sad doom And soon that He has spoilt so bright a thing repents.",86,0.43777801446505277,0.43777801446505277,0.4853431171780579,0.1419530901733007,0.34782608695652173,0.6153846153846154,16,36,26,scent; short; sooner; soon; pluck,0.9999999999999999,1.0
14e,page_to_text.json,1,127,Poetic visions rise with all the power of prophecy. The Soul is present past & future to itself The Image of the Eternal deity . Carrara Two hundred centuries are past Since first the Roman Warrior rode Disturbed thy mighty solitude Raised on the base the quarried stone the quarried stone,50,14g,page_to_text.json,0,157,153 On the road to Carrara is a quarry of mill stones where the mill stone appears as if naturally formed of its proper size [sketch of four birds] It is a Breccia - where the water was still . &. to examine this,43,0.2824778524616612,0.2824778524616612,0.4549728512158215,0.12358075823615307,0.10256410256410256,0.25,4,27,16,stone; quarri; carrara; breccia; size,1.0,1.0
14e,page_to_text.json,0,131,Hopes such as dying truly in truly in bliss And kissing thee I seem to share Thy innocence & happiness Thy innocence & happiness . – And in thy kiss I seem to share Thy innocence & happiness. The source a pure contentedness Which ever changing still is bright Which ever changing still is bright,51,14e,page_to_text.json,1,132,"Hopes such as sainted Vestals know- Thy virtue is to me as dear Thy virtue is to me as dear As my own life, nay dearer far And in thy Kiss As my own life, nay dearer far And in thy Kiss And in thy Kiss And in thy Kiss And if I shed thus a transient tear & loved no less And if I shed thus a transient tear & loved no less & loved no less It is a tear of happiness It is a tear of happiness Thy innocence I xxxxxx seem to share: And yet sure I share thy happiness, to the same to the same The light that xx wakens in thy eye.",114,0.4005179844044881,0.4005179844044881,0.47733331215080277,0.14822035357785487,0.17647058823529413,0.4,6,15,25,kiss; share; happi; innoc; thi,1.0,1.0
14e,page_to_text.json,0,131,Hopes such as dying truly in truly in bliss And kissing thee I seem to share Thy innocence & happiness Thy innocence & happiness . – And in thy kiss I seem to share Thy innocence & happiness. The source a pure contentedness Which ever changing still is bright Which ever changing still is bright,51,14e,page_to_text.json,2,132,"So bright mild so pure so soft so clear Is of that fire not meant to die Which never glitters through a tear The Vestals fire, or sacred light Its source a hope of heavenly bliss Its source a hope of heavenly bliss Devotions flame for ever bright Devotions flame for ever bright A Virgin that a saint might kiss A Virgin that a saint might kiss .",68,0.30331279724408017,0.30331279724408017,0.4586287489845181,0.1531356032258383,0.2413793103448276,0.4666666666666667,7,15,21,kiss; bliss; innoc; bright; share,1.0,1.0
14e,page_to_text.json,2,132,"So bright mild so pure so soft so clear Is of that fire not meant to die Which never glitters through a tear The Vestals fire, or sacred light Its source a hope of heavenly bliss Its source a hope of heavenly bliss Devotions flame for ever bright Devotions flame for ever bright A Virgin that a saint might kiss A Virgin that a saint might kiss .",68,14e,page_to_text.json,0,138,135 She raises from the earth their hopes sublime To higher heavenly bliss above the skies.,16,0.2968010675868302,0.2968010675868302,0.4574740231195337,0.14785077206526984,0.1111111111111111,0.3333333333333333,3,21,9,bliss; heavenli; hope; sublim; higher,1.0,1.0
14e,page_to_text.json,0,134,131 Supplement to the poem on the death of Lord Byron Lord Byron Lord Byron . Fintl - July 28.27 Now passing near those high & blessed abodes ways. abodes ways.,29,14e,page_to_text.json,0,165,"On the death of Lord Byron On the death of Lord Byron On the death of Lord Byron composed at Westhill in the great storm, Nov r .",28,0.5181350796393371,0.5181350796393371,0.5046179026736156,0.20335802369469175,0.16666666666666666,0.375,3,13,8,byron; lord; death; way; abod,0.9999999999999999,1.0
14e,page_to_text.json,0,153,"addition to the thought on youth. on youth. & invocation to urania composed the road copied Laybach . April 20 - 27. For time has withered all the lovely flowers That once adorned my youthful coronet And death has cut & utterly destroyed That beauteous tree which for two xxxxxx bore Perennial roses having all the hues & scents Of vernal flowers, yet like the amaranth Blooming in wintry frost & summer heat. April 19. 1827.",70,14e,page_to_text.json,0,155,Ravenna April 7 Oh couldst thou be with me daughter of Oh couldst thou be with me daughter of Oh couldst thou be with me daughter of heavn Urania. I have now no other love. For time & death have withered all the flowers That once adorned my youthful coronet. with thee I still may live a little space And hope for better intellectual light With thee I may e'en still in xxxxx vernal times Look upon nature with a poets eye.,81,0.29422452644521513,0.29422452644521513,0.45702019903052477,0.1146189990712158,0.21052631578947367,0.375,12,37,32,youth; couldst; april; coronet; urania,0.9999999999999999,0.9999999999999999
14e,page_to_text.json,0,154,"151 By the imperial citys fallen walls Laying bare the bones of heroes & the monuments And Of generations of the ages past Or we might rest on that cloud covered hill Whose marble rocks are cloaked with brightest green. Where thousand flowers of unknown hues & names Scent the cool air, rarely by human breath inhaled But which the wild bee knows & ever haunts And whence descends the balmy influence Of those bright waters tepid from the fires Of ancient Appenine .",81,14g,page_to_text.json,1,27,Layin bare the bones of heroes & the monuments And records of the generations past. - Or wilt thou pass to that cloud covered hill Whose marble rocks are cloaked with brightest verdure green Where Flora reigns in mountain majesty Where a thousand flowers of nameless unknown sweets hues & virtues & virtues Scent the cool air rarely by human breath inhaled,58,0.536954382589583,0.536954382589583,0.5095966367639647,0.1542439272519247,0.43103448275862066,0.6578947368421053,25,45,38,inhal; bare; scent; cloak; hero,1.0000000000000002,1.0
